before;2;1;after;1;2;during;4;3;contains;3;4;overlaps;6;5;overlappedby;5;6;meets;8;7;metby;7;8;starts;10;9;startedby;9;10;finishes;12;11;finishedby;11;12;equals;13;13
1;2;3;4;5;6;7;8;9;10;11;12;13
1;1;all;1|5|7|3|9;1;1;1|5|7|3|9;1;1|5|7|3|9;1;1;1|5|7|3|9;1;1
2;all;2;2|6|8|3|11;2;2|6|8|3|11;2;2|6|8|3|1;2;2|6|8|3|11;2;2;2;2
3;1;2;3;all;1|5|7|3;2|6|7|3|11;1;2;3;2|5|8|3|11;3;1|5|7|3|9;5
4;1|5|4|12;2|6|4|8|10;5|6|3|10|12|4|9|11|13;4;5|4|12;6|4|10;5|4|12;6|4|10;4|12|5;4;4|10|5;4;7
5;1;2;3;all;1|5|7|3|9;2|6|8|3|1;1;2;3;2|6|8|3|1;3;1|5|7|3|9;3
6;1;2;3;1|5|7|4|12;1|5|7;6|3|1;1;8;9;9|10|13;3;1|7|5;9
7;1;2|6|8|4|10;5|3|9;1;1;5|3|9;1;11|12|13;7;7;3|9|5;1;8
8;1;2;3;2|6|8|4|10;5|3|9;2|6|8;7;2;3;2|6|8;1;1|12|13;1
9;1;2|6|8|4|10;5|3|9;4;5;6|4|10;7;10|6|4;5;4;1|12|13;12;12
10;1|5|7|4|12;2;6|3|1;2|6|8|4|10;5|6|3|4|13|9|10|1|12;2|6|8;5|4|12;2;6|3|1;6|2|8;6;6|4|10;6
11;1|5|7|4|12;2|6|4|8|10;5|6|3|4|13|9|10|1|12;4;5|4|12;6|4|10;5|4|12;6|4|10;4|12|5;4;4|10|6;4;4
12;1|5|7|4|12;2;6|3|1;4;5|4|12;6;5|4|12;8;9|10|13;10;6;4;10
13;1;2;3;4;5;6;7;8;9;10;11;12;13